win,map,a1,a2,a3,a4,a5
1,5,1,2,16,5,1
1,6,1,2,20,13,10
1,1,1,7,10,11,20
1,4,1,10,20,12,2
1,4,1,12,2,20,10
1,5,1,16,7,2,5
1,2,1,16,21,19,7
1,6,1,19,16,4,21
1,6,2,5,1,19,16
1,6,2,5,19,16,14
1,4,2,10,20,12,14
1,4,2,12,1,10,19
1,4,2,14,16,7,12
1,4,2,14,20,10,12
1,6,2,19,16,14,5
1,4,2,20,12,10,14
1,2,3,16,19,5,21
1,2,3,16,19,18,21
1,2,3,16,19,18,21
1,2,3,21,4,16,19
1,2,3,21,4,16,19
1,7,4,7,16,21,14
1,7,4,14,21,7,16
1,2,4,16,3,19,21
1,2,4,16,3,19,21
1,2,4,16,3,21,19
1,7,4,16,14,7,2
1,2,4,21,19,16,3
1,5,5,8,16,19,14
1,3,5,10,11,21,20
1,3,5,10,11,21,20
1,5,5,16,1,7,2
1,4,5,16,14,7,2
1,6,5,16,19,14,10
1,6,5,19,21,14,16
1,3,5,21,11,10,20
1,5,7,12,14,21,16
1,1,7,14,11,16,4
1,5,7,14,12,1,16
1,7,7,14,16,5,9
1,5,7,16,12,14,21
1,5,7,16,21,14,12
1,3,9,5,10,19,21
1,4,9,10,21,12,19
1,4,10,2,12,20,14
1,4,10,2,20,14,12
1,3,10,5,20,21,17
1,3,10,5,21,20,11
1,4,10,9,12,21,19
1,4,10,11,2,14,12
1,1,10,11,12,20,14
1,1,10,11,14,12,20
1,1,10,11,14,12,20
1,4,10,12,20,1,2
1,1,10,12,20,11,14
1,4,10,12,21,9,19
1,1,10,14,11,12,20
1,4,10,14,12,9,19
1,4,10,14,12,20,2
1,4,10,14,20,2,12
1,6,10,16,1,21,19
1,6,10,16,5,19,14
1,6,10,16,12,19,14
1,6,10,16,19,1,12
1,3,10,17,9,20,21
1,6,10,19,1,16,5
1,3,10,20,5,21,11
1,1,10,20,11,14,11
1,3,10,20,11,21,5
1,4,10,20,12,1,2
1,4,10,20,12,2,14
1,1,10,20,12,11,14
1,1,10,20,14,11,12
1,3,10,21,11,20,5
1,3,10,21,14,20,11
1,6,10,21,16,1,19
1,3,10,21,20,19,5
